game_play_id,player_id,position,fc_attribution,baseline_fc
2022090800_101,35472.0,LG,0.008760041557252407,"[0.50568384 0.5034648  0.4598981  0.34278423 0.32899037 0.2783407
 0.23214783 0.55899847 0.5733703  0.54485357 0.5104075 ]"
2022090800_101,42392.0,C,0.013445813208818436,"[0.50568384 0.5034648  0.4598981  0.34278423 0.32899037 0.2783407
 0.23214783 0.55899847 0.5733703  0.54485357 0.5104075 ]"
2022090800_101,44875.0,LT,0.030068349093198776,"[0.50568384 0.5034648  0.4598981  0.34278423 0.32899037 0.2783407
 0.23214783 0.55899847 0.5733703  0.54485357 0.5104075 ]"
2022090800_101,48512.0,RG,0.025723163038492203,"[0.50568384 0.5034648  0.4598981  0.34278423 0.32899037 0.2783407
 0.23214783 0.55899847 0.5733703  0.54485357 0.5104075 ]"
2022090800_101,53522.0,RT,0.027828654274344444,"[0.50568384 0.5034648  0.4598981  0.34278423 0.32899037 0.2783407
 0.23214783 0.55899847 0.5733703  0.54485357 0.5104075 ]"
2022090800_1187,42400.0,RT,0.0722118392586708,"[0.42407715 0.3688326  0.7504955  0.3536829  0.79321253 0.27509132
 0.74273354 0.2215601  0.7134106  0.63611335 0.5226433  0.415143
 0.376037   0.39481577]"
2022090800_1187,46158.0,LT,0.09964950382709503,"[0.42407715 0.3688326  0.7504955  0.3536829  0.79321253 0.27509132
 0.74273354 0.2215601  0.7134106  0.63611335 0.5226433  0.415143
 0.376037   0.39481577]"
2022090800_1187,46180.0,C,0.08266808837652206,"[0.42407715 0.3688326  0.7504955  0.3536829  0.79321253 0.27509132
 0.74273354 0.2215601  0.7134106  0.63611335 0.5226433  0.415143
 0.376037   0.39481577]"
2022090800_1187,46376.0,RG,0.062389399856328964,"[0.42407715 0.3688326  0.7504955  0.3536829  0.79321253 0.27509132
 0.74273354 0.2215601  0.7134106  0.63611335 0.5226433  0.415143
 0.376037   0.39481577]"
2022090800_1187,47952.0,LG,0.08728634566068649,"[0.42407715 0.3688326  0.7504955  0.3536829  0.79321253 0.27509132
 0.74273354 0.2215601  0.7134106  0.63611335 0.5226433  0.415143
 0.376037   0.39481577]"
2022090800_1385,42400.0,RT,0.003731552977114916,"[0.49307767 0.50214535 0.48115733 0.41109407 0.35643134 0.3459956
 0.55051625 0.34078613 0.5143673  0.4923005  0.47725195 0.4711019 ]"
2022090800_1385,46158.0,LT,0.017552226781845093,"[0.49307767 0.50214535 0.48115733 0.41109407 0.35643134 0.3459956
 0.55051625 0.34078613 0.5143673  0.4923005  0.47725195 0.4711019 ]"
2022090800_1385,46180.0,C,0.04507434368133545,"[0.49307767 0.50214535 0.48115733 0.41109407 0.35643134 0.3459956
 0.55051625 0.34078613 0.5143673  0.4923005  0.47725195 0.4711019 ]"
2022090800_1385,46376.0,RG,0.03100404143333435,"[0.49307767 0.50214535 0.48115733 0.41109407 0.35643134 0.3459956
 0.55051625 0.34078613 0.5143673  0.4923005  0.47725195 0.4711019 ]"
2022090800_1385,47952.0,LG,0.006227212492376566,"[0.49307767 0.50214535 0.48115733 0.41109407 0.35643134 0.3459956
 0.55051625 0.34078613 0.5143673  0.4923005  0.47725195 0.4711019 ]"
2022090800_1406,42400.0,RT,0.0954795628786087,"[0.739124   0.762992   0.7268734  0.61790144 0.4558925  0.39521787
 0.407707   0.41399014 0.3240165  0.28634787 0.20781438]"
2022090800_1406,46158.0,LT,0.006961792707443237,"[0.739124   0.762992   0.7268734  0.61790144 0.4558925  0.39521787
 0.407707   0.41399014 0.3240165  0.28634787 0.20781438]"
2022090800_1406,46180.0,C,0.04877322167158127,"[0.739124   0.762992   0.7268734  0.61790144 0.4558925  0.39521787
 0.407707   0.41399014 0.3240165  0.28634787 0.20781438]"
2022090800_1406,46376.0,RG,0.10499301552772522,"[0.739124   0.762992   0.7268734  0.61790144 0.4558925  0.39521787
 0.407707   0.41399014 0.3240165  0.28634787 0.20781438]"
2022090800_1406,47952.0,LG,0.11125100404024124,"[0.739124   0.762992   0.7268734  0.61790144 0.4558925  0.39521787
 0.407707   0.41399014 0.3240165  0.28634787 0.20781438]"
2022090800_1736,42400.0,RT,0.05096273869276047,[0.7425147  0.681729   0.59983397 0.5274968  0.4840483  0.41202644]
2022090800_1736,46158.0,LT,0.06795588880777359,[0.7425147  0.681729   0.59983397 0.5274968  0.4840483  0.41202644]
2022090800_1736,46180.0,C,0.08600819110870361,[0.7425147  0.681729   0.59983397 0.5274968  0.4840483  0.41202644]
2022090800_1736,46376.0,RG,0.08678453415632248,[0.7425147  0.681729   0.59983397 0.5274968  0.4840483  0.41202644]
2022090800_1736,47952.0,LG,0.12499865144491196,[0.7425147  0.681729   0.59983397 0.5274968  0.4840483  0.41202644]
2022090800_191,35472.0,LG,0.03060060180723667,"[0.5404306  0.5195437  0.4906578  0.46428388 0.42975587 0.3684349
 0.31425905 0.2568178  0.21738996 0.6003633  0.2097512  0.5776012 ]"
